prj	local	autoridade	tipo	Ano	cod	Norma	status	viavel	Nota	Tags	Ementa
x	br;sp;sao.paulo	municipal	lei	2001	74	PL 74 				cooperativa; incubadora	INSTITUI O PROGRAMA INCUBADORA DE COOPERATIVAS NO MU NICIPIO DE SAO PAULO, E DA OUTRAS PROVIDENCIAS
x	br;sp;sao.paulo	municipal	lei	2001	88	PL 88 				cooperativa; trabalho-multiplo	INSTITUI O "PROGRAMA DE COOPERATIVAS DE TRABALHO MULTIPLO" E DA OUTRAS PROVIDENCIAS
x	br;sp;sao.paulo	municipal	lei	2001	379	PL 379 				cooperativa; ambulantes	DISPOE SOBRE A ORGANIZACAO EM COOPERATIVISMO DA ATIVIDADE DOS AMBULANTES, NA CAPITAL
x	br;sp;sao.paulo	municipal	lei	2002	415	PL 415 				cooperativa; reciclagem; meio-ambiente	"INSTITUI O 'PROGRAMA SOCIO-AMBIENTAL COOPERATIVA DE CATADORES DE MATERIAL RECICLAVEL' E DA OUTRAS PROVIDENCIAS."
x	br;sp;sao.paulo	municipal	lei	2002	591	PL 591 				cooperativa; programa-popular	"DISPOE SOBRE A CRIACAO DO PROGRAMA DE COOPERATIVAS POPULARES DA PREFEITURA DO MUNICIPIO DE SAO PAULO."
x	br;sp;sao.paulo	municipal	lei	2002	607	PL 607 				 	"CRIA O FUNDO MUNICIPAL DE DESENVOLVIMENTO SOLIDARIO E DISPOE SOBRE O INCENTIVO A EMPREENDIMENTOS SOLIDA- RIOS E A GERACAO DE EMPREGO, TRABALHO E RENDA, E DA OUTRAS PROVIDENCIAS."
x	br;sp;sao.paulo	municipal	lei	2003	234	PL 234 				agricultura-urbana	"CRIA O PROGRAMA DE AGRICULTURA URBANA E PERI-URBANA - PROAURP NO MUNICIPIO DE SAO PAULO E DEFINE SUAS DIRETRIZES."
x	br;sp;sao.paulo	municipal	lei	2004	332	PL 332 				economia-solidaria; espaços	GARANTE A DESTINACAO DE ESPACO FISICO PARA O DESENVOLVIMENTO DE ATIVIDADES DE ECONOMIA SOLIDARIA NO MUNICIPIO DE SAO PAULO E DA OUTRAS PROVIDENCIAS
x	br;sp;sao.paulo	municipal	lei	2004	343	PL 343 				iss	CONCEDE ISENCAO PARCIAL DO CREDITO TRIBUTARIO RELATIVO AO ISS - IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA A CATEGORIA QUE ESPECIFICA, E DA OUTRAS PROVIDENCIAS
x	br;sp;sao.paulo	municipal	lei	2004	353	PL 353 				 	AUTORIZA O EXECUTIVO INSTITUIR O BILHETE UNICO DE TRANSPORTE GRATUITO, EM CARATER PROVISORIO, PARA OS CATADORES DE MATERIAIS RECICLAVEIS DOS NUCLEOS DE COLETA SELETIVA E DAS CENTRAIS DE TRIAGEM, E DA OUTRAS PROVIDENCIAS
